idle_rpm,max_rpm,gear,max_gears,rpm,turbo,turboMax,input_throttle,input_brake,input_clutch,input_parkingBrake,input_steeringPercent,accY,pitchPos,wheel_speed_fl,wheel_speed_fr,wheel_speed_rl,wheel_speed_rr,suspension_position_fl,suspension_position_fr,suspension_position_rl,suspension_position_rr
1000.0,8000.0,1,3,3938.8,6.04,40.01,1.0,0.0,0.0,0.0,-0.01,-0.02,-1.01,0.03,0.03,0.02,0.07,1.66,1.66,1.38,1.38
1000.0,8000.0,1,3,3962.18,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-1.01,0.03,0.07,0.0,0.03,1.66,1.66,1.38,1.38
1000.0,8000.0,1,3,3962.18,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-1.0,0.04,0.07,0.01,0.01,1.65,1.67,1.37,1.38
1000.0,8000.0,1,3,3917.59,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-1.0,0.04,0.08,0.01,0.01,1.65,1.67,1.37,1.38
1000.0,8000.0,1,3,3858.41,6.03,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.99,0.04,0.11,0.02,0.03,1.65,1.67,1.37,1.38
1000.0,8000.0,1,3,3827.34,5.98,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.98,0.13,0.05,0.03,0.04,1.65,1.66,1.37,1.39
1000.0,8000.0,1,3,3819.31,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.97,0.14,0.06,0.02,0.06,1.66,1.65,1.38,1.38
1000.0,8000.0,1,3,3819.31,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.96,0.1,0.1,0.02,0.05,1.66,1.65,1.38,1.38
1000.0,8000.0,1,3,3827.19,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.95,0.07,0.16,0.04,0.02,1.66,1.64,1.38,1.38
1000.0,8000.0,1,3,3845.96,5.99,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.95,0.06,0.17,0.04,0.02,1.67,1.64,1.38,1.38
1000.0,8000.0,1,3,3872.38,6.0,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.94,0.11,0.13,0.04,0.05,1.67,1.63,1.38,1.38
1000.0,8000.0,1,3,3903.14,6.02,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.94,0.08,0.14,0.02,0.08,1.67,1.63,1.38,1.38
1000.0,8000.0,1,3,3936.28,6.03,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.93,0.07,0.14,0.0,0.09,1.66,1.64,1.38,1.39
1000.0,8000.0,1,3,3961.92,6.04,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.92,0.06,0.17,0.01,0.08,1.65,1.64,1.38,1.39
1000.0,8000.0,1,3,3914.86,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.92,0.11,0.18,0.01,0.07,1.65,1.64,1.37,1.39
1000.0,8000.0,1,3,3857.3,6.02,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.92,0.08,0.17,0.03,0.06,1.65,1.64,1.36,1.4
1000.0,8000.0,1,3,3857.3,6.02,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.91,0.15,0.11,0.05,0.05,1.64,1.64,1.36,1.4
1000.0,8000.0,1,3,3828.19,5.97,40.01,1.0,0.0,0.0,0.0,-0.01,-0.03,-0.91,0.19,0.09,0.05,0.05,1.65,1.64,1.36,1.4
1000.0,8000.0,1,3,3821.46,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,-0.02,-0.91,0.17,0.1,0.03,0.06,1.65,1.63,1.36,1.4
1000.0,8000.0,1,3,3830.17,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,-0.02,-0.91,0.09,0.11,0.04,0.03,1.65,1.63,1.36,1.4
1000.0,8000.0,1,3,3849.57,5.97,40.01,1.0,0.0,0.0,0.0,-0.01,-0.02,-0.91,0.09,0.12,0.06,0.0,1.66,1.63,1.36,1.4
1000.0,8000.0,1,3,3876.45,5.99,40.01,1.0,0.0,0.0,0.0,-0.01,-0.01,-0.92,0.14,0.06,0.04,0.02,1.66,1.63,1.36,1.4
1000.0,8000.0,1,3,3907.39,6.03,40.01,1.0,0.0,0.0,0.0,-0.01,-0.01,-0.92,0.07,0.05,0.01,0.05,1.66,1.63,1.36,1.4
1000.0,8000.0,1,3,3907.39,6.03,40.01,1.0,0.0,0.0,0.0,-0.01,-0.0,-0.93,0.06,0.06,0.01,0.05,1.65,1.64,1.35,1.4
1000.0,8000.0,1,3,3940.49,6.04,40.01,1.0,0.0,0.0,0.0,-0.01,0.0,-0.93,0.05,0.07,0.01,0.04,1.65,1.64,1.35,1.4
1000.0,8000.0,1,3,3959.81,6.04,40.01,1.0,0.0,0.0,0.0,-0.01,0.0,-0.93,0.03,0.06,0.01,0.0,1.64,1.65,1.35,1.4
1000.0,8000.0,1,3,3908.13,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,0.01,-0.93,0.04,0.04,0.02,0.0,1.64,1.65,1.34,1.4
1000.0,8000.0,1,3,3852.88,6.03,40.01,1.0,0.0,0.0,0.0,-0.01,0.01,-0.93,0.02,0.01,0.02,0.01,1.64,1.65,1.34,1.4
1000.0,8000.0,1,3,3826.01,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,0.01,-0.94,0.09,0.05,0.01,0.01,1.64,1.64,1.34,1.4
1000.0,8000.0,1,3,3820.84,5.95,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-0.94,0.04,0.07,0.01,0.01,1.64,1.64,1.34,1.39
1000.0,8000.0,1,3,3830.6,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-0.94,0.02,0.03,0.03,0.06,1.65,1.63,1.35,1.39
1000.0,8000.0,1,3,3830.6,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-0.94,0.05,0.03,0.03,0.08,1.65,1.63,1.35,1.38
1000.0,8000.0,1,3,3850.69,5.98,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-0.95,0.0,0.08,0.0,0.06,1.65,1.63,1.35,1.38
1000.0,8000.0,1,3,3877.98,6.0,40.01,1.0,0.0,0.0,0.0,-0.01,0.03,-0.95,0.08,0.08,0.01,0.02,1.65,1.62,1.35,1.38
1000.0,8000.0,1,3,3909.2,6.02,40.01,1.0,0.0,0.0,0.0,-0.01,0.03,-0.96,0.1,0.07,0.04,0.01,1.65,1.63,1.35,1.37
1000.0,8000.0,1,3,3942.1,6.04,40.01,1.0,0.0,0.0,0.0,-0.01,0.03,-0.96,0.11,0.05,0.08,0.0,1.65,1.64,1.35,1.37
1000.0,8000.0,1,3,3958.7,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,0.03,-0.96,0.13,0.05,0.05,0.03,1.64,1.64,1.34,1.38
1000.0,8000.0,1,3,3904.93,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,0.03,-0.97,0.12,0.07,0.05,0.03,1.64,1.64,1.34,1.38
1000.0,8000.0,1,3,3850.24,6.02,40.01,1.0,0.0,0.0,0.0,-0.01,0.03,-0.97,0.11,0.08,0.04,0.03,1.64,1.64,1.33,1.38
1000.0,8000.0,1,3,3823.71,5.98,40.01,1.0,0.0,0.0,0.0,-0.01,0.03,-0.97,0.06,0.11,0.03,0.03,1.64,1.64,1.34,1.38
1000.0,8000.0,1,3,3823.71,5.98,40.01,1.0,0.0,0.0,0.0,-0.01,0.03,-0.98,0.08,0.12,0.04,0.02,1.65,1.64,1.34,1.37
1000.0,8000.0,1,3,3818.33,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,0.03,-0.98,0.11,0.11,0.04,0.03,1.65,1.64,1.34,1.37
1000.0,8000.0,1,3,3828.12,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,0.03,-0.98,0.14,0.07,0.01,0.07,1.65,1.63,1.34,1.37
1000.0,8000.0,1,3,3848.71,5.99,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-0.98,0.13,0.06,0.0,0.08,1.66,1.63,1.34,1.37
1000.0,8000.0,1,3,3875.9,6.01,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-0.99,0.07,0.13,0.03,0.03,1.66,1.63,1.34,1.37
1000.0,8000.0,1,3,3907.08,6.02,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-0.99,0.14,0.11,0.06,0.0,1.66,1.63,1.35,1.37
1000.0,8000.0,1,3,3940.39,6.04,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-1.0,0.15,0.08,0.1,0.02,1.66,1.64,1.35,1.37
1000.0,8000.0,1,3,3940.39,6.04,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-1.0,0.15,0.08,0.06,0.01,1.66,1.64,1.34,1.37
1000.0,8000.0,1,3,3959.87,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-1.0,0.14,0.08,0.05,0.02,1.65,1.65,1.35,1.37
1000.0,8000.0,1,3,3906.09,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,0.02,-1.0,0.09,0.06,0.03,0.05,1.65,1.65,1.34,1.37
1000.0,8000.0,1,3,3851.42,6.01,40.01,1.0,0.0,0.0,0.0,-0.01,0.01,-1.0,0.1,0.08,0.01,0.04,1.65,1.65,1.35,1.37
1000.0,8000.0,1,3,3824.94,5.97,40.01,1.0,0.0,0.0,0.0,-0.01,0.01,-1.0,0.01,0.12,0.0,0.04,1.65,1.65,1.35,1.37
1000.0,8000.0,1,3,3820.13,5.95,40.01,1.0,0.0,0.0,0.0,-0.01,0.01,-1.0,0.01,0.11,0.01,0.02,1.66,1.65,1.36,1.37
1000.0,8000.0,1,3,3830.21,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,0.01,-1.0,0.08,0.06,0.01,0.06,1.66,1.64,1.36,1.37
1000.0,8000.0,1,3,3830.21,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,0.0,-1.0,0.08,0.05,0.02,0.08,1.67,1.64,1.36,1.37
1000.0,8000.0,1,3,3851.07,5.98,40.01,1.0,0.0,0.0,0.0,-0.01,0.0,-1.0,0.04,0.05,0.04,0.07,1.67,1.64,1.36,1.37
1000.0,8000.0,1,3,3878.49,6.0,40.01,1.0,0.0,0.0,0.0,-0.01,0.0,-1.0,0.0,0.08,0.01,0.03,1.67,1.64,1.36,1.37
1000.0,8000.0,1,3,3909.7,6.03,40.01,1.0,0.0,0.0,0.0,-0.01,-0.0,-1.0,0.03,0.06,0.01,0.01,1.67,1.64,1.37,1.37
1000.0,8000.0,1,3,3909.7,6.03,40.01,1.0,0.0,0.0,0.0,-0.01,-0.0,-1.0,0.04,0.04,0.02,0.01,1.67,1.64,1.36,1.37
1000.0,8000.0,1,3,3942.92,6.04,40.01,1.0,0.0,0.0,0.0,-0.01,-0.0,-1.0,0.04,0.03,0.02,0.0,1.67,1.65,1.37,1.37
1000.0,8000.0,1,3,3954.14,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,-0.01,-1.0,0.04,0.0,0.0,0.01,1.66,1.66,1.37,1.37
1000.0,8000.0,1,3,3895.74,6.05,40.01,1.0,0.0,0.0,0.0,-0.01,-0.01,-1.0,0.0,0.01,0.0,0.01,1.65,1.66,1.37,1.38
1000.0,8000.0,1,3,3844.92,6.03,40.01,1.0,0.0,0.0,0.0,-0.01,-0.01,-1.0,0.01,0.01,0.01,0.0,1.65,1.66,1.37,1.38
1000.0,8000.0,1,3,3822.39,5.96,40.01,1.0,0.0,0.0,0.0,-0.01,-0.01,-1.0,0.1,0.04,0.03,0.01,1.65,1.66,1.37,1.38
